disease,kind,timestamp,modal1_acc,modal1_TP,modal1_FN,modal1_FP,modal1_TN,modal2_acc,modal2_TP,modal2_FN,modal2_FP,modal2_TN,shared_acc,shared_TP,shared_FN,shared_FP,shared_TN
CRC,pretrain-only,20251028_093853,0.64,161,90,93,158,0.6,152,99,104,147,0.62,156,95,96,155
CRC,pretrain-only,20251028_134936,0.6,148,103,96,155,0.59,149,102,102,149,0.58,147,104,105,146
CRC,pretrain-only,20251028_051551,0.61,153,98,100,151,0.59,150,101,106,145,0.61,147,104,94,157
CRC,meta-pretrain,20251028_060959,0.62,152,99,94,157,0.6,147,104,97,154,0.61,149,102,95,156
CRC,meta-pretrain,20251028_145209,0.61,155,96,101,150,0.61,151,100,94,157,0.62,164,87,103,148
CRC,meta-pretrain,20251028_103138,0.64,162,89,92,159,0.59,146,105,102,149,0.61,146,105,92,159
CRC,meta-only,20251028_091918,0.64,162,89,90,161,0.6,148,103,96,155,0.62,151,100,89,162
CRC,meta-only,20251028_045550,0.66,169,82,87,164,0.61,157,94,102,149,0.63,158,93,94,157
CRC,meta-only,20251028_132958,0.63,158,93,92,159,0.59,150,101,103,148,0.62,155,96,95,156
IBD,pretrain-only,20251028_182905,0.86,126,22,19,129,0.81,123,25,32,116,0.82,124,24,30,118
IBD,pretrain-only,20251028_203555,0.85,125,23,21,127,0.83,124,24,27,121,0.83,123,25,24,124
IBD,pretrain-only,20251029_041159,0.88,130,18,18,130,0.81,124,24,31,117,0.81,121,27,29,119
IBD,pretrain-only,20251027_212047,0.85,128,20,23,125,0.83,121,27,22,126,0.85,130,18,26,122
IBD,pretrain-only,20251029_030603,0.86,129,19,22,126,0.82,123,25,28,120,0.82,120,28,24,124
IBD,pretrain-only,20251028_235210,0.85,126,22,21,127,0.83,122,26,23,125,0.82,121,27,26,122
IBD,pretrain-only,20251029_020009,0.87,128,20,19,129,0.84,126,22,25,123,0.81,119,29,26,122
IBD,pretrain-only,20251029_005702,0.86,128,20,20,128,0.84,124,24,24,124,0.81,124,24,31,117
IBD,pretrain-only,20251028_193243,0.84,123,25,22,126,0.83,122,26,25,123,0.84,127,21,27,121
IBD,pretrain-only,20251028_214042,0.87,129,19,20,128,0.83,122,26,24,124,0.79,115,33,30,118
IBD,pretrain-only,20251028_224507,0.85,125,23,22,126,0.82,124,24,30,118,0.83,126,22,29,119
IBD,meta-pretrain,20251028_185439,0.86,127,21,21,127,0.83,124,24,27,121,0.83,124,24,25,123
IBD,meta-pretrain,20251029_012239,0.86,129,19,23,125,0.83,126,22,27,121,0.82,123,25,29,119
IBD,meta-pretrain,20251028_195803,0.88,130,18,17,131,0.81,122,26,30,118,0.83,127,21,29,119
IBD,meta-pretrain,20251028_210203,0.86,127,21,21,127,0.82,120,28,26,122,0.85,130,18,26,122
IBD,meta-pretrain,20251028_220644,0.89,130,18,15,133,0.85,129,19,25,123,0.79,121,27,34,114
IBD,meta-pretrain,20251029_043832,0.86,126,22,18,130,0.82,125,23,29,119,0.84,126,22,26,122
IBD,meta-pretrain,20251029_001839,0.86,126,22,20,128,0.82,122,26,26,122,0.83,123,25,26,122
IBD,meta-pretrain,20251029_022629,0.86,127,21,19,129,0.83,120,28,22,126,0.81,123,25,30,118
IBD,meta-pretrain,20251028_231303,0.87,125,23,16,132,0.81,120,28,27,121,0.84,121,27,21,127
IBD,meta-pretrain,20251029_033159,0.88,129,19,16,132,0.86,125,23,19,129,0.84,127,21,27,121
IBD,meta-only,20251029_040105,0.86,125,23,17,131,0.85,124,24,20,128,0.85,125,23,20,128
IBD,meta-only,20251028_192215,0.85,125,23,20,128,0.84,123,25,23,125,0.86,130,18,23,125
IBD,meta-only,20251028_212951,0.87,128,20,18,130,0.83,124,24,25,123,0.85,129,19,26,122
IBD,meta-only,20251028_223432,0.88,132,16,21,127,0.83,124,24,26,122,0.85,125,23,22,126
IBD,meta-only,20251028_181842,0.87,126,22,16,132,0.83,123,25,24,124,0.84,121,27,21,127
IBD,meta-only,20251028_234134,0.87,128,20,19,129,0.83,120,28,22,126,0.85,126,22,21,127
IBD,meta-only,20251029_025507,0.9,130,18,13,135,0.82,123,25,27,121,0.86,126,22,18,130
IBD,meta-only,20251029_004625,0.85,126,22,22,126,0.84,123,25,21,127,0.85,127,21,22,126
IBD,meta-only,20251029_014933,0.87,125,23,16,132,0.84,125,23,24,124,0.86,125,23,18,130
IBD,meta-only,20251028_202521,0.86,129,19,22,126,0.83,120,28,23,125,0.88,132,16,21,127
cirrhosis,pretrain-only,20251028_113529,0.87,100,14,16,98,0.84,96,18,18,96,0.84,96,18,19,95
cirrhosis,pretrain-only,20251028_071906,0.86,100,14,18,96,0.86,98,16,16,98,0.81,97,17,27,87
cirrhosis,pretrain-only,20251028_161120,0.84,101,13,23,91,0.84,97,17,19,95,0.83,98,16,22,92
cirrhosis,meta-pretrain,20251028_162858,0.88,104,10,18,96,0.84,97,17,20,94,0.84,101,13,24,90
cirrhosis,meta-pretrain,20251028_115319,0.88,106,8,19,95,0.82,96,18,24,90,0.86,103,11,21,93
cirrhosis,meta-pretrain,20251028_074124,0.85,98,16,18,96,0.85,95,19,16,98,0.85,96,18,16,98
cirrhosis,meta-only,20251028_160344,0.88,103,11,17,97,0.82,93,21,19,95,0.84,96,18,19,95
cirrhosis,meta-only,20251028_112801,0.88,105,9,18,96,0.82,95,19,22,92,0.85,98,16,19,95
cirrhosis,meta-only,20251028_071133,0.87,103,11,18,96,0.82,94,20,20,94,0.87,100,14,16,98
T2D,pretrain-only,20251028_122401,0.64,110,60,63,107,0.63,113,57,70,100,0.59,97,73,68,102
T2D,pretrain-only,20251027_191457,0.65,110,60,60,110,0.61,114,56,77,93,0.63,109,61,64,106
T2D,pretrain-only,20251028_170026,0.66,116,54,62,108,0.63,109,61,65,105,0.65,112,58,61,109
T2D,pretrain-only,20251028_081248,0.69,120,50,55,115,0.63,107,63,62,108,0.63,108,62,65,105
T2D,meta-pretrain,20251028_125553,0.66,116,54,60,110,0.63,111,59,68,102,0.64,112,58,64,106
T2D,meta-pretrain,20251027_194600,0.68,119,51,57,113,0.62,109,61,69,101,0.62,107,63,66,104
T2D,meta-pretrain,20251028_084438,0.66,112,58,58,112,0.66,112,58,57,113,0.62,101,69,60,110
T2D,meta-only,20251028_080012,0.65,110,60,60,110,0.62,112,58,70,100,0.61,111,59,72,98
T2D,meta-only,20251028_121149,0.67,115,55,58,112,0.59,102,68,72,98,0.63,113,57,68,102
T2D,meta-only,20251027_190251,0.69,123,47,57,113,0.61,106,64,68,102,0.67,117,53,60,110
T2D,meta-only,20251028_164708,0.62,103,67,62,108,0.63,114,56,71,99,0.61,107,63,68,102
